GiftId,Latitude,Longitude,Weight
1,16.3457688674,6.30354512503,1.0
2,12.494749307,28.6263955635,15.5244795726
3,27.794615136,60.0324947881,8.05849862195
4,44.4269923769,110.114216113,1.0
5,-69.8540884125,87.9468778773,25.0888919163
6,53.5679698071,-71.3593080866,38.0001512626
7,12.9025840371,79.9669489093,44.2066162418
8,-6.29109889296,-64.8917508931,1.0
9,-2.68531605304,111.089758191,1.0
10,38.4288618657,101.973670947,35.7013112369
11,39.0901430146,72.6189278664,27.579921436
12,-15.5749342275,39.5572954834,14.5519741369
13,73.1896497296,-106.604219923,4.98356232888
14,57.0682897236,134.171051275,23.6559977941
15,-68.884672727,61.214391432,1.0
16,-40.7404097049,-63.9527499451,20.8517645204
17,-66.3243912609,-65.0571157742,1.0
18,48.7506310206,-124.572001202,6.88447877979
19,34.2221051613,-99.3908630501,45.8086830123
20,-73.0838623546,-74.4172652937,43.2122195173
21,18.6716243133,-95.7109355295,1.0
22,47.3626446387,61.0683069193,27.1131731807
23,-21.2828406251,-64.9940077309,1.0
24,36.4035868261,65.8513733791,1.0
25,52.2185240181,10.2652145163,26.4288451951
26,18.366745749,51.3729554921,38.394405676
27,29.4414267718,86.2759975891,14.3903300008
28,76.3334845992,-38.2394206523,1.0
29,65.0717259305,64.407895904,4.64246789893
30,38.3806598238,42.6379985157,45.7284736705
31,62.5199597365,-43.2626103117,29.1597409335
32,58.9166758589,-128.640284481,8.92293396867
33,-8.63406954274,-63.9366853928,24.8435358672
34,-76.194072717,-141.018317751,1.0
35,52.5635732888,71.6513211596,1.0
36,31.0459810433,12.0027990632,14.2824527613
37,50.242050756,-95.5377472093,1.0
38,16.017500743,-12.0883693736,1.0
39,8.05847093548,48.1277893266,1.0
40,75.2615103075,143.474184781,1.0
41,18.708564599,80.6150359492,37.6389183686
42,68.485725996,62.7979869733,29.7005922012
43,-77.051178651,-29.7725439517,6.24581768299
44,42.3207833178,-74.1174732856,8.44463550471
45,55.7981397383,114.306769974,6.52314409133
46,67.7261456251,38.3591767147,1.0
47,29.9616935113,14.7260593997,1.0
48,39.4908953629,87.4539689304,14.7620054211
49,-1.95496237264,-69.7200884637,1.0
50,56.8165711007,-153.998137234,14.0480973351
51,22.1574571208,21.9442973001,38.9453026033
52,64.8631213045,46.8996050684,1.0
